Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in),
3/9/2020,54,39.6,34,42,36.1,32,97,88.3,61,8,3.7,0,29.9,29.8,29.7,0,
3/10/2020,60,38.5,28,43,33.4,26,97,83.6,47,9,2.1,0,29.9,29.8,29.8,0,
3/11/2020,58,40.2,31,44,34.9,29,97,82.7,57,15,5.7,0,29.9,29.8,29.8,0,
3/12/2020,54,42.3,33,36,32.3,28,86,69.3,47,18,9.9,0,29.9,29.9,29.7,0,
3/13/2020,45,38.3,31,37,34.3,28,93,85.8,65,12,5.3,0,29.7,29.3,29.2,0,
3/14/2020,49,40.8,37,38,35.9,34,93,83.2,59,16,9.6,0,29.5,29.3,29.2,0.32,
3/15/2020,52,40.6,31,35,30.5,26,93,69,47,22,12.9,7,29.6,29.5,29.5,0.2,
3/16/2020,60,43.7,31,37,32.9,28,92,68.3,41,23,11.2,0,29.7,29.6,29.5,0,
3/17/2020,62,45.1,33,41,33.1,28,83,65,35,20,7,0,29.5,29.5,29.4,0,
3/18/2020,59,44.6,33,41,35.4,30,92,72.7,42,8,3.4,0,29.5,29.5,29.4,0,
3/19/2020,65,46.8,32,44,37.7,29,92,73.1,43,8,3.7,0,29.7,29.6,29.5,0,
3/20/2020,63,48,34,46,40,32,93,75.7,53,13,4.6,0,29.9,29.8,29.8,0,
3/21/2020,63,41.6,32,45,36.7,31,100,84.8,45,12,2.8,0,29.9,29.8,29.7,0,
3/22/2020,68,45,32,43,36.4,30,96,75.7,35,15,3.8,0,29.8,29.7,29.6,0,
3/23/2020,51,45.7,42,42,39,37,89,77.6,66,17,10.5,5,29.6,29.6,29.5,0,
3/24/2020,51,43.1,38,40,37.9,35,89,82.1,63,16,8.9,0,29.6,29.6,29.6,0.11,
3/25/2020,53,41.6,34,39,35.7,31,93,80.9,47,10,5.5,0,29.7,29.7,29.6,0.22,
3/26/2020,52,41.8,31,39,34.2,29,96,76.2,50,9,5.3,0,29.8,29.7,29.7,0.06,
3/27/2020,54,46.7,41,45,40.3,37,93,79,57,10,5.9,0,29.7,29.7,29.7,0.01,
3/28/2020,54,49.7,46,48,45.3,44,96,85,71,15,7.1,3,29.7,29.7,29.6,0.12,
3/29/2020,57,51.2,48,50,45.7,43,89,81.6,69,21,10.2,3,29.6,29.6,29.5,0.19,
3/30/2020,49,47.2,45,45,42.8,41,90,85,77,17,11.1,3,29.7,29.6,29.4,0.21,
3/31/2020,52,45.3,37,43,38.8,32,93,79.4,48,18,8.5,0,29.8,29.7,29.6,0.82,
4/1/2020,49,42.4,36,41,37.7,34,93,83.7,71,15,7.8,0,29.8,29.7,29.7,0.08,
4/2/2020,51,43.6,35,40,37.9,33,93,80.8,61,12,5.5,0,29.9,29.8,29.8,0.16,
4/3/2020,53,38.8,30,40,34.1,28,97,84.6,47,9,5.2,0,29.8,29.7,29.6,0,
4/4/2020,47,42.7,37,43,39.5,36,93,88.3,81,7,3.5,0,29.6,29.3,29.2,0,
4/5/2020,62,49.2,44,49,44.1,42,96,83.7,58,15,9.4,6,29.3,29.2,29.1,0.13,
4/6/2020,61,49.2,45,47,43.8,42,93,82.8,56,12,6.8,0,29.7,29.5,29.3,0.05,
4/7/2020,62,44.3,35,44,38.8,34,100,83.6,43,14,3.8,0,29.8,29.8,29.7,0.01,
4/8/2020,67,52.3,39,50,42.6,35,89,71,50,15,7.9,0,29.8,29.8,29.7,0,
4/9/2020,73,56.5,39,51,43.8,36,89,64.9,41,14,4.7,0,29.7,29.6,29.6,0,
4/10/2020,72,55.8,42,51,45.1,38,89,69.6,46,10,4.9,0,29.7,29.7,29.6,0,
4/11/2020,65,49.9,39,46,42.7,38,97,78.4,50,12,3.6,0,29.8,29.7,29.7,0,
4/12/2020,65,49.4,37,41,36.7,33,93,65.3,34,16,6.4,0,29.8,29.8,29.7,0,
4/13/2020,66,49.5,34,36,32.2,29,82,55.3,25,15,6.8,0,30,29.9,29.8,0,
4/14/2020,71,52.6,32,45,35.3,27,88,58,22,12,4.3,0,30,29.9,29.9,0,
4/15/2020,61,51.3,44,48,44.7,41,90,79.3,58,12,5.4,0,29.9,29.8,29.7,0,
4/16/2020,71,55.3,42,44,38.8,34,93,60.2,26,21,12.8,5,29.8,29.7,29.6,0,
4/17/2020,74,56.6,40,45,35.9,27,71,48,26,18,6.2,0,29.6,29.5,29.4,0,
4/18/2020,58,51.1,47,48,44.5,41,93,78.7,58,13,5.5,0,29.7,29.6,29.5,0,
4/19/2020,66,56.4,45,48,44.6,42,90,66.6,47,12,5.9,0,29.7,29.7,29.6,0,
4/20/2020,70,50.1,37,52,42.2,35,97,76.8,43,15,3.4,0,29.8,29.7,29.7,0,
4/21/2020,63,53.9,48,48,45.1,43,87,72.7,55,8,4,0,29.9,29.9,29.9,0,
4/22/2020,64,55.5,50,57,51.5,45,96,87,75,18,9.3,0,29.9,29.8,29.8,0,
4/23/2020,68,57.3,51,51,47.8,39,93,72.9,36,9,5.4,0,29.9,29.9,29.8,0.64,
4/24/2020,63,56.1,51,56,52.4,50,96,87.7,75,12,6.3,0,29.8,29.8,29.8,0.11,
4/25/2020,67,57.9,44,57,53,40,94,84.6,56,14,6.1,0,29.8,29.7,29.7,0.19,
4/26/2020,71,50,38,51,40,29,97,74.7,31,10,3.8,0,29.8,29.7,29.6,0.08,
4/27/2020,66,58.3,51,58,51.4,43,92,78,68,16,8.1,0,29.8,29.7,29.7,0,
4/28/2020,74,58.8,47,56,51.6,46,97,79.4,46,8,2.5,0,29.8,29.8,29.7,0.03,
4/29/2020,68,60.1,50,59,52.9,49,96,78.3,56,15,7.6,0,29.7,29.6,29.6,0,
4/30/2020,65,55.1,46,50,43.2,36,86,67.1,36,10,6.5,3,29.8,29.7,29.7,0,
5/1/2020,64,52.7,39,54,45.8,35,93,78.4,52,14,4.1,0,29.7,29.7,29.6,0,
5/2/2020,62,53.2,48,54,48.8,44,97,85.5,67,23,9.1,3,29.8,29.6,29.4,0.06,
5/3/2020,61,52.2,39,45,42,37,93,69.8,48,13,5.6,0,29.9,29.9,29.8,0,
5/4/2020,71,53.9,37,45,39.9,34,93,63.8,27,13,3.8,0,29.8,29.8,29.7,0.01,
5/5/2020,72,53.9,44,53,46.9,39,97,79.2,48,18,4,0,29.8,29.7,29.7,0.02,
5/6/2020,64,52.6,43,47,42.6,39,90,71,46,14,7.3,0,30.1,30,29.9,0.11,
5/7/2020,72,55.2,42,48,42.8,38,86,65.5,43,18,12.3,6,30,29.8,29.6,0,
5/8/2020,84,63.3,43,56,46.2,36,80,55.8,35,14,6.1,0,29.6,29.6,29.5,0,
5/9/2020,82,65.9,49,58,51.5,44,89,62.5,41,10,4.3,0,29.5,29.5,29.4,0,
5/10/2020,79,62.5,51,62,51.8,48,89,69.9,45,15,6.8,0,29.5,29.4,29.4,0,
5/11/2020,67,57.3,50,51,48.2,45,89,73.4,47,14,5.5,0,29.4,29.4,29.3,0,
5/12/2020,60,54.4,50,53,49,44,90,82.1,69,15,8.8,0,29.5,29.4,29.3,0,
5/13/2020,59,53,48,51,47.5,42,90,81.6,66,17,8,0,29.6,29.5,29.5,0.19,
5/14/2020,60,53.3,50,51,48.5,47,93,83.9,64,17,10,3,29.8,29.6,29.6,0.55,
5/15/2020,71,56.2,42,48,44.7,40,93,69.5,36,8,5.1,0,29.8,29.7,29.6,0.16,
5/16/2020,68,57.7,52,55,50.2,46,93,77,52,14,4.8,0,29.6,29.4,29.3,0,
5/17/2020,68,56,49,52,50.4,43,94,82.8,45,10,5.2,0,29.4,29.3,29.3,0.23,
5/18/2020,59,54.7,51,51,49.6,47,96,83.3,67,10,5,0,29.6,29.5,29.4,0.34,
5/19/2020,61,54.6,49,54,48.3,45,90,79.7,64,15,5.4,0,29.7,29.7,29.6,0.08,
5/20/2020,57,54,50,48,46.5,46,89,76.4,67,12,8,3,29.8,29.8,29.7,0.3,
5/21/2020,60,53.9,48,46,43.6,42,86,69.2,53,18,10.3,5,29.7,29.7,29.7,0,
5/22/2020,59,51.8,43,48,44.6,41,93,77.9,57,16,4.3,0,29.8,29.8,29.7,0.04,
5/23/2020,66,51.7,37,47,42.8,35,97,74.2,48,13,5,0,29.8,29.8,29.7,0.08,
5/24/2020,74,63.1,43,56,50.4,41,93,65,43,8,3.8,0,29.8,29.8,29.7,0,
5/25/2020,71,61.6,49,57,53,47,93,74.5,59,10,4.4,0,29.7,29.7,29.7,0,
5/26/2020,75,61.8,50,60,54.4,49,100,78.6,55,13,5.8,0,29.7,29.7,29.6,0,
5/27/2020,79,65.2,50,56,52.4,48,93,66.4,40,17,8.3,0,29.7,29.6,29.6,0,
5/28/2020,87,69.8,51,62,53.8,49,92,60.5,35,9,4.3,0,29.6,29.5,29.5,0,
5/29/2020,81,66.8,50,61,54.6,48,93,66.8,45,9,4.2,0,29.6,29.5,29.4,0,
5/30/2020,60,55.1,51,54,49.9,48,93,82.6,69,17,7.7,3,29.6,29.5,29.4,0,
5/31/2020,65,55.7,49,50,48.1,44,93,76.9,50,13,4.9,0,29.7,29.7,29.6,0.51,
6/1/2020,72,57.2,42,49,44.8,40,92,66.6,35,13,8,3,29.8,29.7,29.7,0,
6/2/2020,77,60.5,42,55,47,39,96,64.1,42,14,4.9,0,29.8,29.8,29.7,0,
6/3/2020,75,60.5,45,54,47.6,40,83,64.2,41,12,5.9,0,29.8,29.7,29.7,0,
6/4/2020,73,59.3,44,51,46.4,41,89,64.9,37,17,8.5,0,29.7,29.6,29.4,0,
6/5/2020,71,59.6,50,51,47.7,43,86,66.4,41,14,6.1,0,29.5,29.4,29.4,0,
6/6/2020,58,52.9,47,49,46.3,45,93,78.4,64,23,9.8,3,29.6,29.5,29.5,0,
6/7/2020,62,52.4,43,48,44.2,41,93,75.3,52,17,8.7,5,29.9,29.7,29.6,0.35,
6/8/2020,65,57,49,49,46.7,44,93,70.5,48,10,5.7,0,29.9,29.9,29.8,0.01,
6/9/2020,66,59.6,52,60,54.4,49,93,83,63,12,6.7,0,29.8,29.8,29.8,0.06,
6/10/2020,79,64.4,58,61,57.2,52,96,79.3,46,16,5.4,0,29.8,29.7,29.7,0.15,
6/11/2020,75,65,57,57,55.3,53,93,72.2,50,8,4,0,29.7,29.6,29.6,0.02,
6/12/2020,60,56.9,54,55,52.6,50,93,85.7,75,9,3,0,29.7,29.6,29.6,0,
6/13/2020,62,54.8,48,52,48.8,46,93,81,62,16,6.7,0,29.7,29.6,29.6,0.15,
6/14/2020,70,59.1,51,53,49.1,46,89,71.3,42,8,4.8,0,29.7,29.6,29.6,0.01,
6/15/2020,62,57.9,53,54,51.1,46,93,79.1,56,14,8.6,3,29.7,29.6,29.6,0.13,
6/16/2020,63,55.7,50,54,50.5,47,93,83.1,63,12,5.8,0,29.8,29.7,29.6,0.08,
6/17/2020,73,54.7,44,54,48.3,43,100,81.5,46,13,4,0,29.9,29.2,0,0.72,
6/18/2020,79,64.3,49,57,53.5,46,93,70.7,45,15,7.4,0,29.8,29.7,29.6,0,
6/19/2020,86,65.8,50,64,54,48,97,70.2,33,8,2.6,0,29.6,29.6,29.5,0,
6/20/2020,72,66.2,61,61,54.8,49,78,66.8,59,12,8.1,5,29.7,29.6,29.5,0,
6/21/2020,76,65.3,57,58,54.6,53,90,69.8,50,13,6.1,0,29.8,29.7,29.7,0,
6/22/2020,85,68.3,52,59,54.7,50,93,65.7,35,20,7.4,0,29.8,29.7,29.6,0,
6/23/2020,92,74.7,55,66,59.2,52,89,61.3,39,15,6.2,0,29.6,29.6,29.5,0,
6/24/2020,81,69.6,59,62,58,55,87,68,48,10,6.8,3,29.6,29.6,29.5,0,
6/25/2020,81,66.8,55,61,56.4,52,90,71.5,45,16,9.5,0,29.7,29.6,29.6,0,
6/26/2020,90,73.6,56,60,55.5,45,93,59.4,22,14,7.1,0,29.7,29.6,29.6,0,
6/27/2020,76,65.8,58,57,53.2,47,87,66,40,15,6.9,0,29.6,29.6,29.6,0,
6/28/2020,70,61.6,55,51,48.5,46,83,63.5,44,16,7.3,0,29.6,29.6,29.5,0,
6/29/2020,77,62.3,49,55,50.2,46,90,66.8,43,15,6,0,29.7,29.7,29.6,0.01,
6/30/2020,73,62.3,54,53,50.7,46,87,67.8,44,16,7.7,0,29.7,29.7,29.7,0,
7/1/2020,71,61.5,55,49,47.8,45,80,62,45,13,4.7,0,29.7,29.7,29.6,0,
7/2/2020,77,63.8,50,53,50.1,47,89,64.2,38,13,4.9,0,29.7,29.6,29.6,0,
7/3/2020,75,61.8,53,52,51.1,49,89,70.2,44,10,2.4,0,29.7,29.7,29.6,0,
7/4/2020,76,63,51,52,49.4,47,86,63.4,38,13,5.5,0,29.8,29.8,29.7,0,
7/5/2020,79,64,51,52,50.2,47,86,63.6,38,14,3.4,0,29.8,29.8,29.7,0,
7/6/2020,67,60.2,52,53,50.8,47,83,71.8,57,10,5.1,0,29.7,29.7,29.7,0,
7/7/2020,75,64.1,56,53,51.1,49,78,64.1,43,12,6.7,3,29.8,29.7,29.7,0,
7/8/2020,78,64.7,57,53,51.5,49,83,65.1,36,12,6.1,0,29.7,29.7,29.6,0,
7/9/2020,76,64.6,51,56,53,48,93,67.8,46,10,2.9,0,29.7,29.6,29.6,0,
7/10/2020,83,67.1,54,57,54,51,90,65.8,37,9,3.3,0,29.8,29.7,29.7,0,
7/11/2020,80,65.4,51,55,51.8,48,93,64.4,40,15,7.5,0,29.8,29.7,29.7,0,
7/12/2020,81,65.8,50,55,51.8,47,89,63.3,39,14,6,0,29.8,29.7,29.6,0,
7/13/2020,82,66.3,51,51,47,38,83,55.3,21,15,7.9,0,29.7,29.7,29.6,0,
7/14/2020,86,69.4,52,53,48.5,42,86,53.3,22,18,8.4,0,29.7,29.7,29.6,0,
7/15/2020,90,74,56,59,53.3,50,80,52.7,28,16,8.5,0,29.7,29.7,29.6,0,
7/16/2020,90,74.1,58,59,55.6,50,87,56.3,25,15,7.4,0,29.7,29.6,29.5,0,
7/17/2020,80,67.6,58,57,54.5,50,87,64.8,40,15,7.2,0,29.7,29.7,29.6,0,
7/18/2020,85,67.6,50,56,51.8,47,89,60.5,32,20,11.5,3,29.8,29.7,29.6,0,
7/19/2020,92,74.6,54,60,55.8,50,87,56.2,29,16,6.6,0,29.7,29.6,29.5,0,
7/20/2020,94,76.6,57,60,57.3,53,90,56.8,25,10,5,0,29.6,29.6,29.5,0,
7/21/2020,93,73.6,55,58,55.5,50,93,58.4,30,17,5,0,29.6,29.5,29.4,0,
7/22/2020,87,71,58,61,56,51,87,62.3,32,14,5.9,0,29.5,29.5,29.4,0,
7/23/2020,81,67.2,53,54,52.1,49,89,61.4,33,15,6,0,29.6,29.6,29.5,0,
7/24/2020,77,63.9,53,51,49.7,48,86,62.8,37,18,9.6,0,29.7,29.7,29.6,0,
7/25/2020,81,66.5,52,51,49,47,83,57,31,18,10.1,0,29.7,29.7,29.6,0,
7/26/2020,97,75.5,55,58,52.1,49,81,49.5,20,10,5.5,0,29.6,29.5,29.5,0,
7/27/2020,98,78.6,62,63,56.8,54,78,50.8,24,13,5.5,0,29.5,29.5,29.4,0,
7/28/2020,93,75.2,59,57,55,52,81,53.7,27,14,6.8,0,29.6,29.5,29.4,0,
7/29/2020,95,76.3,58,57,54.1,52,87,51.2,24,10,4.1,0,29.5,29.5,29.5,0,
7/30/2020,97,76.8,59,59,53.8,51,81,49.5,21,14,5.3,0,29.6,29.5,29.5,0,
7/31/2020,87,70.5,57,56,52.2,47,77,55.8,25,15,9.7,6,29.7,29.6,29.6,0,
8/1/2020,86,71,59,59,55.3,51,87,60.9,34,7,4.3,0,29.7,29.7,29.6,0,
8/2/2020,87,70.8,56,55,52.5,49,84,56.5,27,16,8.2,5,29.7,29.7,29.7,0,
8/3/2020,86,70.5,53,60,55.6,51,93,63.3,34,15,5,0,29.8,29.7,29.7,0,
8/4/2020,89,72.7,55,59,55.9,47,93,61.2,23,14,5.9,0,29.7,29.6,29.5,0,
8/5/2020,83,68.6,59,59,56,51,87,66,44,15,7.7,3,29.6,29.6,29.5,0,
8/6/2020,74,62.7,55,59,52.6,47,93,72.1,41,16,7.4,0,29.7,29.6,29.6,0,
8/7/2020,80,64.5,48,52,47.5,43,86,58.8,27,18,7.8,0,29.8,29.7,29.7,0.04,
8/8/2020,82,67.5,51,53,51,47,86,58.4,35,17,7.7,0,29.8,29.7,29.7,0,
8/9/2020,85,68.5,50,50,47.5,45,86,51,26,21,12.9,0,29.8,29.8,29.7,0,
8/10/2020,95,74.9,57,55,50.6,47,72,46.2,23,17,10.2,3,29.7,29.6,29.5,0,
8/11/2020,87,68.1,50,48,42,33,77,44.3,17,14,5.1,0,29.6,29.6,29.5,0,
8/12/2020,78,63.8,49,48,44.5,40,77,53.1,26,15,6.7,0,29.7,29.6,29.6,0,
8/13/2020,82,65.1,50,48,41.9,28,83,49.3,15,16,8.5,0,29.7,29.7,29.7,0,
8/14/2020,88,69.6,50,50,47.1,43,77,48.2,24,18,10.2,0,29.8,29.7,29.6,0,
8/15/2020,101,77.8,56,57,51.4,47,74,44.4,19,14,6,0,29.6,29.5,29.4,0,
8/16/2020,92,78.8,65,58,54.4,47,68,44.6,30,15,7,3,29.6,29.5,29.5,0,
8/17/2020,95,77,61,62,57.2,51,87,53.7,29,12,5,0,29.7,29.6,29.6,0,
8/18/2020,89,73.4,61,59,56.6,55,83,58.5,32,12,5.9,0,29.8,29.7,29.6,0,
8/19/2020,89,69.3,55,57,54.3,51,87,62.5,28,20,6.8,0,29.6,29.6,29.5,0,
8/20/2020,89,72.5,59,61,57,54,87,61.1,33,21,8.1,0,29.6,29.5,29.4,0,
8/21/2020,80,70.1,63,64,60.9,56,94,73.8,50,18,8.4,0,29.6,29.5,29.4,0,
8/22/2020,81,67,54,56,52.1,47,90,62.7,34,20,9.8,0,29.7,29.6,29.6,0.01,
8/23/2020,87,68.5,49,54,51,43,90,58.5,21,10,5.7,0,29.6,29.5,29.5,0,
8/24/2020,84,67.8,53,52,48.3,37,86,55.2,20,16,8.4,0,29.6,29.5,29.5,0,
8/25/2020,84,67.4,52,53,48.9,42,86,56.2,24,13,7.2,0,29.6,29.5,29.5,0,
8/26/2020,85,68.2,52,53,49.3,43,89,56,24,18,9.1,0,29.6,29.5,29.5,0,
8/27/2020,85,67.3,48,51,47.3,43,86,53.8,23,21,8.3,0,29.6,29.6,29.5,0,
8/28/2020,87,68.4,51,54,50.6,46,86,57.8,25,17,7.8,0,29.6,29.6,29.5,0,
8/29/2020,82,66.1,50,54,48,40,89,56.5,24,15,9.5,0,29.7,29.6,29.6,0,
8/30/2020,80,62.8,48,48,42.3,34,80,51.5,19,17,10.9,3,29.8,29.7,29.6,0,
8/31/2020,80,68.9,59,53,49.3,46,65,50.9,32,20,8.1,0,29.7,29.7,29.6,0,
9/1/2020,89,72.3,54,57,53.8,49,83,55.1,32,20,10,0,29.7,29.7,29.6,0,
9/2/2020,94,76.8,61,59,54.1,46,81,50.3,19,21,11,0,29.7,29.6,29.6,0,
9/3/2020,95,75.4,59,59,56.3,54,83,55.2,27,17,8.7,0,29.7,29.6,29.5,0,
9/4/2020,76,64.6,55,57,53.5,49,87,68.5,50,17,11.1,0,29.7,29.6,29.6,0,
9/5/2020,81,65,53,54,50.8,47,90,64,33,15,6,0,29.8,29.8,29.7,0,
9/6/2020,89,68.8,50,56,51,45,89,57.8,27,16,5.9,0,29.8,29.8,29.7,0,
9/7/2020,90,74.9,53,57,48.6,22,87,46,13,21,9.9,0,29.7,29.6,29.5,0,
9/8/2020,75,70.6,64,27,24,19,24,17.6,14,24,17.1,7,29.7,29.5,29.4,0,
9/9/2020,80,63.7,48,41,32.5,26,55,33.6,17,16,7.3,0,29.5,29.5,29.4,0,
9/10/2020,74,58.3,49,52,44.5,40,83,61.9,33,10,3.9,0,29.7,29.6,29.5,0,
9/11/2020,68,56.5,47,50,47.6,43,89,74,46,8,2.7,0,29.7,29.7,29.6,0,
9/12/2020,64,52,45,52,47.6,43,97,85.3,63,5,0.8,0,29.6,29.6,29.6,0,
9/13/2020,67,54.6,46,55,50.6,45,100,87.1,61,7,1.9,0,29.6,29.5,29.5,0,
