Date,TimeOfCall,Age,Gender,Race,Language,City,Reason for Dispatch
1/15/2021,18:59:11,94,Female,White,English,Springfield,Check Welfare
1/15/2021,17:21:17,12,Male,White,English,Springfield,Public Assist
1/15/2021,19:34:21,60,Male,White,English,Springfield,Check Welfare
1/15/2021,20:20:08,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/15/2021,21:40:44,58,Male,White,English,Springfield,Check Welfare
1/15/2021,23:41:33,17,Female,Chose not to Disclose,English,Springfield,Check Welfare
1/16/2021,0:19:31,50,Male,White,English,Springfield,Check Welfare
1/16/2021,0:53:37,30,Female,White,English,Springfield,Public Assist
1/16/2021,4:12:37,63,Female,Chose not to Disclose,English,Springfield,Public Assist
1/16/2021,6:21:00,19,Female,White,English,Springfield,Counseling
1/16/2021,6:55:00,Unavailable,Female,White,English,Springfield,Check Welfare
1/16/2021,7:48:00,Unavailable,Male,White,English,Springfield,Check Welfare
1/16/2021,7:58:00,30,Female,White,English,Springfield,Transport
1/16/2021,9:30:00,7,Male,Two or More Unspecified Race,English,Springfield,Counseling
1/15/2021,4:21:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/15/2021,17:02:55,21,Female,White,English,Eugene,Public Assist
1/15/2021,17:58:04,Unavailable,Male,White,English,Eugene,Police Assist
1/15/2021,18:33:36,Unavailable,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/15/2021,18:46:16,Unavailable,Male,Chose not to Disclose,English,Eugene,Public Assist
1/15/2021,19:59:03,Unavailable,Female,White,English,Eugene,Public Assist
1/15/2021,20:29:45,60,Female,White,English,Eugene,Check Welfare
1/15/2021,20:58:00,36,Female,American Indian,English,Eugene,Public Assist
1/15/2021,22:42:00,46,Male,White,English,Eugene,Public Assist
1/15/2021,0:26:34,59,Male,White,English,Eugene,Public Assist
1/16/2021,1:06:58,Unavailable,Male,White,English,Eugene,Public Assist
1/16/2021,1:22:48,Unavailable,Male,White,English,Eugene,Public Assist
1/16/2021,1:41:10,46,Male,White,English,Eugene,Public Assist
1/16/2021,2:32:14,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/16/2021,2:49:49,34,Female,White,English,Eugene,Check Welfare
1/16/2021,2:38:08,34,Female,Chose not to Disclose,English,Eugene,Check Welfare
1/16/2021,4:02:25,30,Female,White,English,Eugene,Police Assist
1/16/2021,4:44:09,35,Other,White,English,Eugene,Public Assist
1/14/2021,17:32:00,58,Female,Black or African American,English,Springfield,Public Assist
1/14/2021,20:04:00,34,Male,White,English,Eugene,Police Assist
1/14/2021,20:44:00,Unavailable,Male,White,English,Springfield,Check Welfare
1/14/2021,22:48:00,56,Male,White,English,Springfield,Public Assist
1/14/2021,23:26:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Public Assist
1/15/2021,5:11:23,44,Female,Chose not to Disclose,English,Springfield,Public Assist
1/15/2021,9:58:38,69,Female,White,English,Springfield,Check Welfare
1/15/2021,10:45:00,40,Male,White,English,Springfield,Public Assist
1/15/2021,12:25:36,24,Male,White,English,Springfield,Public Assist
1/15/2021,12:40:35,34,Male,White,English,Springfield,Police Assist
1/16/2021,11:58:35,24,Male,White,English,Springfield,Check Welfare
1/16/2021,13:41:40,69,Female,White,English,Springfield,Public Assist
1/16/2021,14:56:54,19,Female,White,English,Springfield,Check Welfare
1/16/2021,15:10:00,20,Female (Assigned Male at Birth),Chose not to Disclose,English,Eugene,Suicidal Subject
1/16/2021,17:19:00,Unavailable,Male,Chose not to Disclose,English,Eugene,Public Assist
1/16/2021,17:32:20,50,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/16/2021,17:44:41,Unavailable,Female,Chose not to Disclose,English,Eugene,Check Welfare
1/16/2021,18:56:42,Unavailable,Male,White,English,Eugene,Check Welfare
1/16/2021,18:22:06,25,Male,White,English,Eugene,Suicidal Subject
1/16/2021,19:13:11,64,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/16/2021,21:10:02,56,Male,White,English,Eugene,Check Welfare
1/16/2021,21:40:24,69,Female,White,English,Eugene,Public Assist
1/16/2021,21:58:57,24,Female (Assigned Male at Birth),Chose not to Disclose,English,Eugene,Suicidal Subject
1/16/2021,22:00:00,34,Female,White,English,Eugene,Public Assist
1/17/2021,0:13:08,20,Male,Two or More Unspecified Race,English,Eugene,Check Welfare
1/17/2021,0:37:02,Unavailable,Male,Chose not to Disclose,English,Eugene,Public Assist
1/17/2021,2:00:42,40,Female,White,English,Eugene,Public Assist
1/17/2021,4:07:01,40,Female,White,English,Eugene,Check Welfare
1/17/2021,4:28:00,Unavailable,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/17/2021,4:37:43,Unavailable,Male,White,English,Eugene,Public Assist
1/17/2021,3:00:00,Unavailable,Male,Chose not to Disclose,English,Eugene,Public Assist
1/17/2021,2:40:00,59,Male,White,English,Eugene,Check Welfare
1/14/2021,18:30:00,20,Male,White,English,Eugene,Police Assist
1/14/2021,20:19:00,32,Female,White,English,Eugene,Check Welfare
1/14/2021,21:45:00,45,Male,White,English,Eugene,Police Assist
1/14/2021,21:55:49,29,Male,Black or African American,English,Eugene,Transport
1/14/2021,22:20:00,Unavailable,Female,Chose not to Disclose,English,Eugene,Check Welfare
1/15/2021,13:23:07,Unavailable,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/15/2021,23:41:33,17,Female,Chose not to Disclose,English,Springfield,Check Welfare
1/16/2021,17:00:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/16/2021,17:31:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Police Assist
1/16/2021,18:00:00,19,Female,White,English,Springfield,Check Welfare
1/16/2021,18:40:05,34,Male,White,English,Springfield,Public Assist
1/16/2021,20:15:22,Unavailable,Male,Chose not to Disclose,English,Springfield,Check Welfare
1/16/2021,20:40:24,44,Female,White,English,Springfield,Public Assist
1/16/2021,21:31:22,17,Female,Two or More Unspecified Race,English,Springfield,Check Welfare
1/16/2021,22:13:57,Unavailable,Female,Chose not to Disclose,English,Springfield,Public Assist
1/17/2021,2:43:49,45,Male,White,English,Springfield,Transport
1/17/2021,6:28:00,Unavailable,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/17/2021,7:35:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/17/2021,8:05:00,Unavailable,Male,Black or African American,English,Eugene,Public Assist
1/17/2021,8:31:00,Unavailable,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/17/2021,9:15:00,34,Male,White,English,Eugene,Police Assist
1/17/2021,9:45:00,50,Male,White,English,Eugene,Check Welfare
1/17/2021,10:40:00,34,Female,Chose not to Disclose,English,Eugene,Check Welfare
1/17/2021,17:26:08,58,Male,White,English,Eugene,Check Welfare
1/17/2021,18:19:25,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Public Assist
1/17/2021,18:30:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/17/2021,18:48:20,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Public Assist
1/17/2021,18:53:32,16,Male,White,English,Eugene,Police Assist
1/17/2021,18:53:32,54,Female,White,English,Eugene,Police Assist
1/17/2021,20:57:53,39,Male,White,English,Eugene,Police Assist
1/18/2021,22:22:00,85,Female,Chose not to Disclose,English,Eugene,Check Welfare
1/18/2021,22:31:00,12,Male,White,English,Eugene,Check Welfare
1/18/2021,2:23:00,48,Male,White,English,Eugene,Public Assist
1/18/2021,2:50:12,Unavailable,Female,White,English,Eugene,Police Assist
1/18/2021,3:53:00,40,Male,White,English,Eugene,Public Assist
1/18/2021,3:53:00,70,Male,White,English,Eugene,Public Assist
1/18/2021,3:53:00,34,Female,White,English,Eugene,Public Assist
1/18/2021,11:14:58,Unavailable,Female,White,English,Eugene,Police Assist
1/18/2021,13:43:50,Unavailable,Male,White,English,Eugene,Police Assist
1/18/2021,13:23:32,Unavailable,Female,White,English,Eugene,Check Welfare
1/18/2021,15:34:55,35,Female,Two or More Unspecified Race,English,Eugene,Police Assist
1/18/2021,19:20:21,82,Female,White,English,Eugene,Check Welfare
1/18/2021,19:56:34,Unavailable,Female,White,English,Eugene,Public Assist
1/18/2021,20:52:03,35,Female,Two or More Unspecified Race,English,Eugene,Public Assist
1/18/2021,21:43:59,Unavailable,Female,White,English,Eugene,Public Assist
1/18/2021,21:53:29,66,Male,Black or African American,English,Eugene,Check Welfare
1/17/2021,7:12:00,54,Male,White,English,Springfield,Check Welfare
1/17/2021,10:35:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/17/2021,12:00:00,54,Male,White,English,Springfield,Public Assist
1/17/2021,12:43:32,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/17/2021,13:40:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/17/2021,14:10:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/17/2021,15:27:00,Unavailable,Female,White,English,Springfield,Public Assist
1/17/2021,17:15:56,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/17/2021,17:40:25,24,Male,White,English,Springfield,Police Assist
1/17/2021,19:13:18,29,Female,White,English,Springfield,Check Welfare
1/17/2021,20:53:37,30,Male,White,English,Springfield,Public Assist
1/17/2021,21:04:48,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/17/2021,21:17:27,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Police Assist
1/17/2021,21:34:07,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Public Assist
1/17/2021,22:07:12,66,Female,White,English,Springfield,Check Welfare
1/17/2021,22:48:19,Unavailable,Male,White,English,Springfield,Check Welfare
1/17/2021,23:10:33,55,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/17/2021,23:28:27,57,Female,White,English,Springfield,Public Assist
1/18/2021,1:01:45,21,Female,White,English,Springfield,Police Assist
1/18/2021,1:01:00,20,Female,White,English,Springfield,Police Assist
1/18/2021,3:22:56,36,Female,White,English,Springfield,Police Assist
1/18/2021,9:23:37,60,Male,Two or More Unspecified Race,English,Springfield,Public Assist
1/18/2021,11:48:16,15,Female,Two or More Unspecified Race,English,Springfield,Police Assist
1/18/2021,12:51:37,Unavailable,Male,Chose not to Disclose,English,Springfield,Public Assist
1/18/2021,13:05:29,40,Female,Two or More Unspecified Race,English,Springfield,Police Assist
1/18/2021,14:23:38,Unavailable,Female,Chose not to Disclose,English,Springfield,Check Welfare
1/18/2021,14:39:05,Unavailable,Male,Chose not to Disclose,English,Springfield,Check Welfare
1/18/2021,14:54:41,68,Male,Two or More Unspecified Race,English,Springfield,Check Welfare
1/18/2021,15:04:33,26,Female,Two or More Unspecified Race,English,Springfield,Check Welfare
1/17/2021,17:22:44,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/17/2021,18:01:19,Unavailable,Female,Chose not to Disclose,English,Eugene,Public Assist
1/17/2021,18:38:41,Unavailable,Female,Chose not to Disclose,English,Eugene,Check Welfare
1/17/2021,19:54:04,Unavailable,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/17/2021,20:12:48,25,Male,Black or African American,English,Eugene,Public Assist
1/17/2021,21:24:55,20,Female,Two or More Unspecified Race,English,Eugene,Public Assist
1/17/2021,22:05:12,Unavailable,Female,Chose not to Disclose,English,Eugene,Check Welfare
1/17/2021,22:39:43,34,Male,White,English,Eugene,Public Assist
1/18/2021,5:04:51,15,Female,Chose not to Disclose,English,Eugene,Check Welfare
1/18/2021,5:28:08,43,Male,White,English,Eugene,Check Welfare
1/18/2021,5:47:41,Unavailable,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/18/2021,5:57:02,60,Male,White,English,Eugene,Transport
1/18/2021,6:14:50,54,Female,White,English,Eugene,Check Welfare
1/18/2021,6:18:08,56,Male,White,English,Eugene,Check Welfare
1/18/2021,7:54:34,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Counseling
1/18/2021,8:13:28,Unavailable,Male,White,English,Eugene,Check Welfare
1/18/2021,8:50:01,59,Male,White,English,Eugene,Check Welfare
1/18/2021,9:11:09,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Public Assist
1/18/2021,10:10:36,68,Female,Chose not to Disclose,English,Eugene,Check Welfare
1/18/2021,17:25:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/18/2021,17:49:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Public Assist
1/18/2021,18:38:00,67,Male,White,English,Springfield,Public Assist
1/18/2021,19:31:00,20,Female,White,English,Springfield,Police Assist
1/18/2021,20:28:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/18/2021,21:32:00,33,Male,White,English,Springfield,Check Welfare
1/18/2021,22:15:00,36,Male,Black or African American,English,Springfield,Public Assist
1/18/2021,22:28:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Public Assist
1/19/2021,5:15:33,Unavailable,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,5:37:13,30,Female,Two or More Unspecified Race,English,Eugene,Public Assist
1/19/2021,6:40:29,68,Male,Chose not to Disclose,English,Eugene,Public Assist
1/19/2021,6:43:39,40,Male,Two or More Unspecified Race,English,Eugene,Public Assist
1/19/2021,7:40:55,81,Female,Chose not to Disclose,English,Eugene,Public Assist
1/19/2021,7:53:08,Unavailable,Female,Asian,English,Eugene,Check Welfare
1/19/2021,8:13:48,Unavailable,Female,Two or More Unspecified Race,English,Eugene,Check Welfare
1/19/2021,8:31:34,64,Female,Chose not to Disclose,English,Eugene,Police Assist
1/19/2021,9:02:23,Unavailable,Male,Two or More Unspecified Race,English,Eugene,Police Assist
1/19/2021,9:20:58,Unavailable,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,9:34:59,Unavailable,Female,Two or More Unspecified Race,English,Eugene,Transport
1/19/2021,9:48:53,Unavailable,Female,Two or More Unspecified Race,English,Eugene,Transport
1/19/2021,10:30:28,62,Male,White,English,Eugene,Suicidal Subject
1/19/2021,11:24:00,Unavailable,Male,Chose not to Disclose,English,Eugene,Public Assist
1/19/2021,12:04:00,58,Male,White,English,Eugene,Check Welfare
1/19/2021,12:48:32,57,Female,White,English,Eugene,Check Welfare
1/19/2021,13:59:53,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,14:27:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,14:37:59,67,Female,Chose not to Disclose,English,Eugene,Public Assist
1/19/2021,15:09:00,34,Female,White,English,Eugene,Public Assist
1/19/2021,15:24:03,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,15:41:32,Unavailable,Female,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,16:11:26,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,16:37:33,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,16:38:27,28,Male,Chose not to Disclose,English,Eugene,Police Assist
1/19/2021,17:21:55,46,Female,White,English,Eugene,Transport
1/19/2021,17:48:15,Unavailable,Male,Black or African American,English,Eugene,Check Welfare
1/19/2021,18:13:43,34,Female,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,18:17:23,12,Male,White,English,Eugene,Police Assist
1/19/2021,20:32:50,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,20:52:43,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,21:46:46,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,21:53:24,22,Female,White,English,Eugene,Suicidal Subject
1/19/2021,7:53:08,48,Female,Asian,English,Eugene,Check Welfare
1/19/2021,9:02:23,70,Male,Two or More Unspecified Race,English,Eugene,Police Assist
1/19/2021,9:20:58,34,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,17:34:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,17:29:00,23,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,18:16:00,69,Male,White,English,Eugene,Check Welfare
1/19/2021,18:05:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,21:45:00,67,Female,White,English,Eugene,Public Assist
1/19/2021,21:40:00,Unavailable,Female,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,22:09:00,72,Female,White,English,Eugene,Public Assist
1/19/2021,22:42:00,59,Male,Chose not to Disclose,English,Eugene,Public Assist
1/20/2021,0:07:00,Unavailable,Male,White,English,Eugene,Check Welfare
1/20/2021,0:33:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Police Assist
1/20/2021,0:53:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Public Assist
1/20/2021,0:59:00,58,Male,Chose not to Disclose,English,Eugene,Police Assist
1/20/2021,1:36:00,29,Male,White,English,Eugene,Public Assist
1/20/2021,2:00:00,31,Male,White,English,Eugene,Public Assist
1/20/2021,2:38:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Public Assist
1/20/2021,2:50:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Public Assist
1/20/2021,3:24:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Public Assist
1/20/2021,3:28:00,40,Female,White,English,Eugene,Public Assist
1/20/2021,4:04:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Police Assist
1/18/2021,17:05:00,29,Female,White,English,Eugene,Public Assist
1/18/2021,18:17:00,46,Male,White,English,Eugene,Public Assist
1/18/2021,18:31:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/18/2021,18:38:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/18/2021,18:52:00,25,Male,White,English,Eugene,Public Assist
1/18/2021,19:11:00,65,Male,White,English,Eugene,Public Assist
1/18/2021,19:29:00,Unavailable,Male,Chose not to Disclose,English,Eugene,Public Assist
1/18/2021,19:35:00,35,Male,White,English,Eugene,Check Welfare
1/18/2021,20:29:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Public Assist
1/18/2021,20:35:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Public Assist
1/18/2021,20:46:00,48,Male,White,English,Eugene,Public Assist
1/18/2021,21:43:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/18/2021,22:05:00,75,Female,White,English,Eugene,Public Assist
1/18/2021,22:22:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/18/2021,22:29:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Public Assist
1/18/2021,22:38:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/18/2021,22:43:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Public Assist
1/18/2021,23:35:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/18/2021,23:47:00,70,Male,White,English,Eugene,Police Assist
1/19/2021,0:27:00,28,Male,White,English,Eugene,Police Assist
1/19/2021,2:31:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,2:40:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,2:47:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,2:53:00,38,Male,White,English,Eugene,Public Assist
1/19/2021,3:17:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/19/2021,3:38:00,28,Male,Two or More Unspecified Race,English,Eugene,Police Assist
1/14/2021,14:55:00,36,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/14/2021,14:53:00,28,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/15/2021,18:46:16,24,Male,Chose not to Disclose,English,Eugene,Public Assist
1/16/2021,1:22:48,26,Male,White,English,Eugene,Public Assist
1/14/2021,14:55:00,55,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/14/2021,20:44:00,18,Male,White,English,Springfield,Check Welfare
1/17/2021,18:19:25,28,Chose not to Disclose,Chose not to Disclose,English,Eugene,Public Assist
1/19/2021,19:00:00,14,Female,White,English,Springfield,Public Assist
1/19/2021,21:06:00,24,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/19/2021,23:21:00,69,Chose not to Disclose,Chose not to Disclose,English,Springfield,Public Assist
1/19/2021,23:34:00,36,Male,Black or African American,English,Springfield,Public Assist
1/20/2021,5:20:44,Unavailable,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/20/2021,5:36:51,62,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/20/2021,6:03:55,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Transport
1/20/2021,6:15:30,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Public Assist
1/20/2021,8:40:00,Unavailable,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/20/2021,9:44:52,69,Male,White,English,Eugene,Check Welfare
1/19/2021,21:06:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/19/2021,23:21:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Public Assist
1/20/2021,17:24:06,68,Male,White,English,Eugene,Check Welfare
1/20/2021,17:55:47,42,Male,White,English,Eugene,Public Assist
1/20/2021,0:11:15,12,Male,Black or African American,English,Eugene,Public Assist
1/20/2021,21:52:03,21,Female,Two or More Unspecified Race,English,Eugene,Police Assist
1/20/2021,21:35:56,Unavailable,Male,Chose not to Disclose,English,Eugene,Public Assist
1/20/2021,18:52:16,75,Female,White,English,Eugene,Public Assist
1/20/2021,19:55:35,35,Female,Black or African American,English,Eugene,Public Assist
1/21/2021,2:39:39,22,Female,Chose not to Disclose,English,Eugene,Check Welfare
1/21/2021,3:12:22,29,Female,White,English,Eugene,Public Assist
1/21/2021,3:39:30,Unavailable,Female,Chose not to Disclose,English,Eugene,Police Assist
1/21/2021,12:49:00,Unavailable,Female,Chose not to Disclose,English,Eugene,Suicidal Subject
1/19/2021,17:47:00,Unavailable,Female,White,English,Eugene,Check Welfare
1/20/2021,0:22:00,40,Male,White,English,Eugene,Check Welfare
1/20/2021,11:03:47,Unavailable,Chose not to Disclose,White,English,Eugene,Check Welfare
1/20/2021,11:15:56,55,Female,White,English,Eugene,Check Welfare
1/20/2021,11:42:00,62,Male,White,English,Eugene,Public Assist
1/20/2021,13:38:50,13,Female (Assigned Male at Birth),White,English,Eugene,Check Welfare
1/21/2021,5:20:27,Unavailable,Male,Chose not to Disclose,English,Eugene,Public Assist
1/21/2021,5:40:44,21,Male,Two or More Unspecified Race,English,Eugene,Police Assist
1/21/2021,6:10:56,46,Male,White,English,Eugene,Police Assist
1/21/2021,6:38:16,34,Male,White,English,Eugene,Public Assist
1/21/2021,7:15:00,Unavailable,Female,Chose not to Disclose,English,Eugene,Check Welfare
1/21/2021,7:23:42,73,Female,White,English,Eugene,Police Assist
1/21/2021,7:20:53,36,Male,White,English,Eugene,Check Welfare
1/21/2021,8:09:29,59,Male,Chose not to Disclose,English,Eugene,Police Assist
1/21/2021,9:10:04,Unavailable,Male,White,English,Eugene,Police Assist
1/21/2021,9:39:27,75,Female,White,English,Eugene,Suicidal Subject
1/21/2021,10:04:49,Unavailable,Male,White,English,Eugene,Check Welfare
1/21/2021,10:19:42,Unavailable,Female,White,English,Eugene,Police Assist
1/21/2021,10:24:05,Unavailable,Female,Chose not to Disclose,English,Eugene,Police Assist
1/21/2021,10:58:54,Unavailable,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/21/2021,11:54:33,48,Male,White,English,Eugene,Check Welfare
1/21/2021,14:08:31,59,Male,White,English,Eugene,Public Assist
1/21/2021,14:54:46,19,Male,White,English,Eugene,Public Assist
1/21/2021,15:40:15,Unavailable,Female,Chose not to Disclose,English,Eugene,Suicidal Subject
1/21/2021,16:09:56,Unavailable,Male,Chose not to Disclose,English,Eugene,Check Welfare
1/20/2021,6:45:00,30,Male,White,English,Springfield,Public Assist
1/20/2021,8:15:00,16,Male,Chose not to Disclose,English,Springfield,Check Welfare
1/20/2021,8:54:00,Unavailable,Female,White,English,Springfield,Check Welfare
