2021,Sunrise/Sunset,,Daylength,,Astronomical Twilight,,Nautical Twilight,,Civil Twilight,,Solar Noon,
1/12/2021,7:45 am ? (120°),4:56 pm ? (240°),9:11:41,+1:34,6:02 AM,6:39 PM,6:37 AM,6:05 PM,7:12 AM,5:29 PM,12:20 pm (24.5°),91.425
1/13/2021,7:44 am ? (120°),4:58 pm ? (241°),9:13:19,+1:38,6:02 AM,6:40 PM,6:36 AM,6:06 PM,7:12 AM,5:30 PM,12:21 pm (24.7°),91.43
1/14/2021,7:44 am ? (119°),4:59 pm ? (241°),9:15:01,+1:41,6:01 AM,6:41 PM,6:36 AM,6:07 PM,7:12 AM,5:31 PM,12:21 pm (24.8°),91.435
1/15/2021,7:43 am ? (119°),5:00 pm ? (241°),9:16:46,+1:45,6:01 AM,6:42 PM,6:36 AM,6:08 PM,7:11 AM,5:32 PM,12:21 pm (25.0°),91.44
1/16/2021,7:43 am ? (119°),5:01 pm ? (241°),9:18:34,+1:48,6:01 AM,6:43 PM,6:35 AM,6:09 PM,7:11 AM,5:33 PM,12:22 pm (25.2°),91.446
1/17/2021,7:42 am ? (118°),5:03 pm ? (242°),9:20:26,+1:51,6:00 AM,6:45 PM,6:35 AM,6:10 PM,7:10 AM,5:34 PM,12:22 pm (25.4°),91.452
1/18/2021,7:41 am ? (118°),5:04 pm ? (242°),9:22:21,+1:54,6:00 AM,6:46 PM,6:34 AM,6:11 PM,7:10 AM,5:36 PM,12:22 pm (25.6°),91.458
1/19/2021,7:41 am ? (118°),5:05 pm ? (242°),9:24:18,+1:57,5:59 AM,6:47 PM,6:34 AM,6:12 PM,7:09 AM,5:37 PM,12:23 pm (25.8°),91.465
1/20/2021,7:40 am ? (117°),5:06 pm ? (243°),9:26:19,+2:00,5:59 AM,6:48 PM,6:33 AM,6:13 PM,7:08 AM,5:38 PM,12:23 pm (26.0°),91.473
1/21/2021,7:39 am ? (117°),5:08 pm ? (243°),9:28:23,+2:03,5:58 AM,6:49 PM,6:33 AM,6:15 PM,7:08 AM,5:39 PM,12:23 pm (26.3°),91.481
1/22/2021,7:39 am ? (117°),5:09 pm ? (243°),9:30:29,+2:06,5:58 AM,6:50 PM,6:32 AM,6:16 PM,7:07 AM,5:41 PM,12:24 pm (26.5°),91.489
1/23/2021,7:38 am ? (116°),5:10 pm ? (244°),9:32:39,+2:09,5:57 AM,6:51 PM,6:31 AM,6:17 PM,7:06 AM,5:42 PM,12:24 pm (26.7°),91.498
1/24/2021,7:37 am ? (116°),5:12 pm ? (244°),9:34:50,+2:11,5:56 AM,6:52 PM,6:31 AM,6:18 PM,7:06 AM,5:43 PM,12:24 pm (27.0°),91.507
1/25/2021,7:36 am ? (116°),5:13 pm ? (244°),9:37:05,+2:14,5:56 AM,6:54 PM,6:30 AM,6:19 PM,7:05 AM,5:44 PM,12:24 pm (27.2°),91.517
1/26/2021,7:35 am ? (115°),5:14 pm ? (245°),9:39:22,+2:16,5:55 AM,6:55 PM,6:29 AM,6:21 PM,7:04 AM,5:46 PM,12:25 pm (27.5°),91.527
1/27/2021,7:34 am ? (115°),5:16 pm ? (245°),9:41:41,+2:19,5:54 AM,6:56 PM,6:28 AM,6:22 PM,7:03 AM,5:47 PM,12:25 pm (27.7°),91.538
1/28/2021,7:33 am ? (115°),5:17 pm ? (246°),9:44:02,+2:21,5:53 AM,6:57 PM,6:27 AM,6:23 PM,7:02 AM,5:48 PM,12:25 pm (28.0°),91.549
1/29/2021,7:32 am ? (114°),5:19 pm ? (246°),9:46:26,+2:23,5:53 AM,6:58 PM,6:26 AM,6:24 PM,7:01 AM,5:49 PM,12:25 pm (28.3°),91.561
1/30/2021,7:31 am ? (114°),5:20 pm ? (246°),9:48:52,+2:25,5:52 AM,6:59 PM,6:26 AM,6:25 PM,7:00 AM,5:51 PM,12:25 pm (28.6°),91.574
1/31/2021,7:30 am ? (113°),5:21 pm ? (247°),9:51:20,+2:27,5:51 AM,7:01 PM,6:25 AM,6:27 PM,6:59 AM,5:52 PM,12:25 pm (28.8°),91.587
2/1/2021,7:29 am ? (113°),5:23 pm ? (247°),9:53:50,+2:29,5:50 AM,7:02 PM,6:24 AM,6:28 PM,6:58 AM,5:53 PM,12:25 pm (29.1°),91.6
2/2/2021,7:28 am ? (113°),5:24 pm ? (248°),9:56:21,+2:31,5:49 AM,7:03 PM,6:23 AM,6:29 PM,6:57 AM,5:55 PM,12:26 pm (29.4°),91.614
2/3/2021,7:27 am ? (112°),5:25 pm ? (248°),9:58:55,+2:33,5:48 AM,7:04 PM,6:22 AM,6:30 PM,6:56 AM,5:56 PM,12:26 pm (29.7°),91.629
2/4/2021,7:25 am ? (112°),5:27 pm ? (248°),10:01:30,+2:35,5:47 AM,7:05 PM,6:21 AM,6:32 PM,6:55 AM,5:57 PM,12:26 pm (30.0°),91.644
2/5/2021,7:24 am ? (111°),5:28 pm ? (249°),10:04:07,+2:37,5:46 AM,7:07 PM,6:19 AM,6:33 PM,6:54 AM,5:59 PM,12:26 pm (30.3°),91.659
2/6/2021,7:23 am ? (111°),5:30 pm ? (249°),10:06:46,+2:38,5:45 AM,7:08 PM,6:18 AM,6:34 PM,6:53 AM,6:00 PM,12:26 pm (30.6°),91.675
2/7/2021,7:22 am ? (110°),5:31 pm ? (250°),10:09:26,+2:40,5:44 AM,7:09 PM,6:17 AM,6:35 PM,6:51 AM,6:01 PM,12:26 pm (30.9°),91.691
2/8/2021,7:20 am ? (110°),5:32 pm ? (250°),10:12:08,+2:41,5:42 AM,7:10 PM,6:16 AM,6:37 PM,6:50 AM,6:03 PM,12:26 pm (31.3°),91.708
2/9/2021,7:19 am ? (109°),5:34 pm ? (251°),10:14:51,+2:43,5:41 AM,7:12 PM,6:15 AM,6:38 PM,6:49 AM,6:04 PM,12:26 pm (31.6°),91.724
2/10/2021,7:18 am ? (109°),5:35 pm ? (251°),10:17:35,+2:44,5:40 AM,7:13 PM,6:14 AM,6:39 PM,6:48 AM,6:05 PM,12:26 pm (31.9°),91.741
2/11/2021,7:16 am ? (109°),5:37 pm ? (252°),10:20:21,+2:45,5:39 AM,7:14 PM,6:12 AM,6:40 PM,6:46 AM,6:06 PM,12:26 pm (32.2°),91.758
2/12/2021,7:15 am ? (108°),5:38 pm ? (252°),10:23:08,+2:46,5:38 AM,7:15 PM,6:11 AM,6:42 PM,6:45 AM,6:08 PM,12:26 pm (32.6°),91.776
2/13/2021,7:13 am ? (108°),5:39 pm ? (253°),10:25:56,+2:48,5:36 AM,7:16 PM,6:10 AM,6:43 PM,6:44 AM,6:09 PM,12:26 pm (32.9°),91.793
2/14/2021,7:12 am ? (107°),5:41 pm ? (253°),10:28:45,+2:49,5:35 AM,7:18 PM,6:08 AM,6:44 PM,6:42 AM,6:10 PM,12:26 pm (33.2°),91.811
2/15/2021,7:10 am ? (107°),5:42 pm ? (254°),10:31:35,+2:50,5:34 AM,7:19 PM,6:07 AM,6:46 PM,6:41 AM,6:12 PM,12:26 pm (33.6°),91.829
2/16/2021,7:09 am ? (106°),5:43 pm ? (254°),10:34:26,+2:51,5:32 AM,7:20 PM,6:06 AM,6:47 PM,6:39 AM,6:13 PM,12:26 pm (33.9°),91.847
2/17/2021,7:07 am ? (106°),5:45 pm ? (255°),10:37:18,+2:52,5:31 AM,7:21 PM,6:04 AM,6:48 PM,6:38 AM,6:14 PM,12:26 pm (34.3°),91.866
2/18/2021,7:06 am ? (105°),5:46 pm ? (255°),10:40:11,+2:52,5:30 AM,7:23 PM,6:03 AM,6:49 PM,6:37 AM,6:16 PM,12:26 pm (34.6°),91.885
2/19/2021,7:04 am ? (105°),5:48 pm ? (256°),10:43:05,+2:53,5:28 AM,7:24 PM,6:01 AM,6:51 PM,6:35 AM,6:17 PM,12:26 pm (35.0°),91.904
2/20/2021,7:03 am ? (104°),5:49 pm ? (256°),10:46:00,+2:54,5:27 AM,7:25 PM,6:00 AM,6:52 PM,6:34 AM,6:18 PM,12:26 pm (35.4°),91.924
2/21/2021,7:01 am ? (104°),5:50 pm ? (257°),10:48:55,+2:55,5:25 AM,7:27 PM,5:58 AM,6:53 PM,6:32 AM,6:20 PM,12:25 pm (35.7°),91.943
2/22/2021,7:00 am ? (103°),5:52 pm ? (257°),10:51:51,+2:56,5:24 AM,7:28 PM,5:57 AM,6:54 PM,6:30 AM,6:21 PM,12:25 pm (36.1°),91.964
2/23/2021,6:58 am ? (103°),5:53 pm ? (258°),10:54:48,+2:56,5:22 AM,7:29 PM,5:55 AM,6:56 PM,6:29 AM,6:22 PM,12:25 pm (36.5°),91.984
2/24/2021,6:56 am ? (102°),5:54 pm ? (258°),10:57:45,+2:57,5:20 AM,7:30 PM,5:54 AM,6:57 PM,6:27 AM,6:23 PM,12:25 pm (36.8°),92.005
2/25/2021,6:55 am ? (102°),5:56 pm ? (259°),11:00:43,+2:57,5:19 AM,7:32 PM,5:52 AM,6:58 PM,6:26 AM,6:25 PM,12:25 pm (37.2°),92.026
2/26/2021,6:53 am ? (101°),5:57 pm ? (259°),11:03:41,+2:58,5:17 AM,7:33 PM,5:51 AM,6:59 PM,6:24 AM,6:26 PM,12:25 pm (37.6°),92.048
2/27/2021,6:51 am ? (100°),5:58 pm ? (260°),11:06:40,+2:58,5:16 AM,7:34 PM,5:49 AM,7:01 PM,6:22 AM,6:27 PM,12:24 pm (37.9°),92.07
2/28/2021,6:50 am ? (100°),5:59 pm ? (260°),11:09:40,+2:59,5:14 AM,7:35 PM,5:47 AM,7:02 PM,6:21 AM,6:28 PM,12:24 pm (38.3°),92.093
3/1/2021,6:48 am ? (99°),6:01 pm ? (261°),11:12:40,+2:59,5:12 AM,7:37 PM,5:46 AM,7:03 PM,6:19 AM,6:30 PM,12:24 pm (38.7°),92.116
3/2/2021,6:46 am ? (99°),6:02 pm ? (261°),11:15:40,+3:00,5:11 AM,7:38 PM,5:44 AM,7:04 PM,6:17 AM,6:31 PM,12:24 pm (39.1°),92.139
3/3/2021,6:45 am ? (98°),6:03 pm ? (262°),11:18:41,+3:00,5:09 AM,7:39 PM,5:42 AM,7:06 PM,6:16 AM,6:32 PM,12:24 pm (39.5°),92.163
3/4/2021,6:43 am ? (98°),6:05 pm ? (262°),11:21:42,+3:01,5:07 AM,7:41 PM,5:41 AM,7:07 PM,6:14 AM,6:34 PM,12:23 pm (39.9°),92.187
3/5/2021,6:41 am ? (97°),6:06 pm ? (263°),11:24:43,+3:01,5:05 AM,7:42 PM,5:39 AM,7:08 PM,6:12 AM,6:35 PM,12:23 pm (40.2°),92.211
3/6/2021,6:39 am ? (97°),6:07 pm ? (264°),11:27:45,+3:01,5:04 AM,7:43 PM,5:37 AM,7:10 PM,6:11 AM,6:36 PM,12:23 pm (40.6°),92.235
3/7/2021,6:38 am ? (96°),6:09 pm ? (264°),11:30:47,+3:02,5:02 AM,7:45 PM,5:36 AM,7:11 PM,6:09 AM,6:37 PM,12:23 pm (41.0°),92.26
3/8/2021,6:36 am ? (96°),6:10 pm ? (265°),11:33:49,+3:02,5:00 AM,7:46 PM,5:34 AM,7:12 PM,6:07 AM,6:39 PM,12:22 pm (41.4°),92.284
3/9/2021,6:34 am ? (95°),6:11 pm ? (265°),11:36:52,+3:02,4:58 AM,7:47 PM,5:32 AM,7:13 PM,6:05 AM,6:40 PM,12:22 pm (41.8°),92.309
3/10/2021,6:32 am ? (95°),6:12 pm ? (266°),11:39:55,+3:02,4:56 AM,7:49 PM,5:30 AM,7:15 PM,6:04 AM,6:41 PM,12:22 pm (42.2°),92.334
3/11/2021,6:31 am ? (94°),6:14 pm ? (266°),11:42:58,+3:02,4:55 AM,7:50 PM,5:28 AM,7:16 PM,6:02 AM,6:42 PM,12:22 pm (42.6°),92.359
3/12/2021,6:29 am ? (93°),6:15 pm ? (267°),11:46:01,+3:03,4:53 AM,7:51 PM,5:27 AM,7:17 PM,6:00 AM,6:44 PM,12:21 pm (43.0°),92.384
3/13/2021,6:27 am ? (93°),6:16 pm ? (267°),11:49:04,+3:03,4:51 AM,7:53 PM,5:25 AM,7:18 PM,5:58 AM,6:45 PM,12:21 pm (43.4°),92.409
Note: hours shift because clocks change forward 1 hour. (See the note below this table for details),,,,,,,,,,,,
3/14/2021,7:25 am ? (92°),7:17 pm ? (268°),11:52:07,+3:03,5:49 AM,8:54 PM,6:23 AM,8:20 PM,6:57 AM,7:46 PM,1:21 pm (43.8°),92.435
3/15/2021,7:23 am ? (92°),7:19 pm ? (268°),11:55:11,+3:03,5:47 AM,8:55 PM,6:21 AM,8:21 PM,6:55 AM,7:47 PM,1:21 pm (44.2°),92.46
3/16/2021,7:22 am ? (91°),7:20 pm ? (269°),11:58:14,+3:03,5:45 AM,8:57 PM,6:19 AM,8:22 PM,6:53 AM,7:49 PM,1:20 pm (44.6°),92.485
3/17/2021,7:20 am ? (91°),7:21 pm ? (270°),12:01:17,+3:03,5:43 AM,8:58 PM,6:17 AM,8:24 PM,6:51 AM,7:50 PM,1:20 pm (45.0°),92.51
3/18/2021,7:18 am ? (90°),7:22 pm ? (270°),12:04:21,+3:03,5:41 AM,8:59 PM,6:16 AM,8:25 PM,6:49 AM,7:51 PM,1:20 pm (45.3°),92.536
3/19/2021,7:16 am ? (90°),7:24 pm ? (271°),12:07:24,+3:03,5:39 AM,9:01 PM,6:14 AM,8:26 PM,6:47 AM,7:52 PM,1:19 pm (45.7°),92.561
3/20/2021,7:14 am ? (89°),7:25 pm ? (271°),12:10:28,+3:03,5:37 AM,9:02 PM,6:12 AM,8:28 PM,6:46 AM,7:54 PM,1:19 pm (46.1°),92.587
3/21/2021,7:13 am ? (89°),7:26 pm ? (272°),12:13:31,+3:03,5:35 AM,9:04 PM,6:10 AM,8:29 PM,6:44 AM,7:55 PM,1:19 pm (46.5°),92.612
3/22/2021,7:11 am ? (88°),7:27 pm ? (272°),12:16:34,+3:03,5:33 AM,9:05 PM,6:08 AM,8:30 PM,6:42 AM,7:56 PM,1:19 pm (46.9°),92.638
3/23/2021,7:09 am ? (87°),7:28 pm ? (273°),12:19:37,+3:03,5:31 AM,9:06 PM,6:06 AM,8:31 PM,6:40 AM,7:57 PM,1:18 pm (47.3°),92.663
3/24/2021,7:07 am ? (87°),7:30 pm ? (273°),12:22:40,+3:02,5:29 AM,9:08 PM,6:04 AM,8:33 PM,6:38 AM,7:59 PM,1:18 pm (47.7°),92.689
3/25/2021,7:05 am ? (86°),7:31 pm ? (274°),12:25:43,+3:02,5:27 AM,9:09 PM,6:02 AM,8:34 PM,6:36 AM,8:00 PM,1:18 pm (48.1°),92.715
3/26/2021,7:03 am ? (86°),7:32 pm ? (274°),12:28:46,+3:02,5:25 AM,9:11 PM,6:00 AM,8:35 PM,6:34 AM,8:01 PM,1:17 pm (48.5°),92.742
3/27/2021,7:02 am ? (85°),7:33 pm ? (275°),12:31:48,+3:02,5:23 AM,9:12 PM,5:58 AM,8:37 PM,6:33 AM,8:02 PM,1:17 pm (48.9°),92.768
3/28/2021,7:00 am ? (85°),7:35 pm ? (276°),12:34:51,+3:02,5:21 AM,9:14 PM,5:56 AM,8:38 PM,6:31 AM,8:04 PM,1:17 pm (49.3°),92.795
3/29/2021,6:58 am ? (84°),7:36 pm ? (276°),12:37:53,+3:02,5:19 AM,9:15 PM,5:55 AM,8:39 PM,6:29 AM,8:05 PM,1:16 pm (49.7°),92.821
3/30/2021,6:56 am ? (84°),7:37 pm ? (277°),12:40:55,+3:01,5:17 AM,9:17 PM,5:53 AM,8:41 PM,6:27 AM,8:06 PM,1:16 pm (50.1°),92.848
3/31/2021,6:54 am ? (83°),7:38 pm ? (277°),12:43:56,+3:01,5:15 AM,9:18 PM,5:51 AM,8:42 PM,6:25 AM,8:07 PM,1:16 pm (50.4°),92.875
4/1/2021,6:52 am ? (83°),7:39 pm ? (278°),12:46:57,+3:01,5:13 AM,9:20 PM,5:49 AM,8:44 PM,6:23 AM,8:09 PM,1:16 pm (50.8°),92.903
4/2/2021,6:51 am ? (82°),7:41 pm ? (278°),12:49:58,+3:00,5:10 AM,9:21 PM,5:47 AM,8:45 PM,6:21 AM,8:10 PM,1:15 pm (51.2°),92.93
4/3/2021,6:49 am ? (81°),7:42 pm ? (279°),12:52:59,+3:00,5:08 AM,9:23 PM,5:45 AM,8:46 PM,6:20 AM,8:11 PM,1:15 pm (51.6°),92.957
4/4/2021,6:47 am ? (81°),7:43 pm ? (279°),12:55:59,+3:00,5:06 AM,9:24 PM,5:43 AM,8:48 PM,6:18 AM,8:13 PM,1:15 pm (52.0°),92.985
4/5/2021,6:45 am ? (80°),7:44 pm ? (280°),12:58:59,+2:59,5:04 AM,9:26 PM,5:41 AM,8:49 PM,6:16 AM,8:14 PM,1:14 pm (52.4°),93.012
4/6/2021,6:44 am ? (80°),7:46 pm ? (280°),13:01:59,+2:59,5:02 AM,9:28 PM,5:39 AM,8:50 PM,6:14 AM,8:15 PM,1:14 pm (52.7°),93.039
4/7/2021,6:42 am ? (79°),7:47 pm ? (281°),13:04:58,+2:59,5:00 AM,9:29 PM,5:37 AM,8:52 PM,6:12 AM,8:16 PM,1:14 pm (53.1°),93.066
4/8/2021,6:40 am ? (79°),7:48 pm ? (281°),13:07:56,+2:58,4:58 AM,9:31 PM,5:35 AM,8:53 PM,6:10 AM,8:18 PM,1:14 pm (53.5°),93.093
4/9/2021,6:38 am ? (78°),7:49 pm ? (282°),13:10:55,+2:58,4:56 AM,9:32 PM,5:33 AM,8:55 PM,6:09 AM,8:19 PM,1:13 pm (53.9°),93.12
4/10/2021,6:37 am ? (78°),7:50 pm ? (282°),13:13:52,+2:57,4:53 AM,9:34 PM,5:31 AM,8:56 PM,6:07 AM,8:20 PM,1:13 pm (54.2°),93.147
4/11/2021,6:35 am ? (77°),7:52 pm ? (283°),13:16:49,+2:57,4:51 AM,9:36 PM,5:29 AM,8:57 PM,6:05 AM,8:22 PM,1:13 pm (54.6°),93.174
4/12/2021,6:33 am ? (77°),7:53 pm ? (284°),13:19:46,+2:56,4:49 AM,9:37 PM,5:27 AM,8:59 PM,6:03 AM,8:23 PM,1:13 pm (55.0°),93.2
4/13/2021,6:31 am ? (76°),7:54 pm ? (284°),13:22:42,+2:55,4:47 AM,9:39 PM,5:25 AM,9:00 PM,6:01 AM,8:24 PM,1:12 pm (55.3°),93.226
4/14/2021,6:30 am ? (76°),7:55 pm ? (285°),13:25:37,+2:55,4:45 AM,9:41 PM,5:23 AM,9:02 PM,6:00 AM,8:25 PM,1:12 pm (55.7°),93.252
4/15/2021,6:28 am ? (75°),7:56 pm ? (285°),13:28:31,+2:54,4:43 AM,9:42 PM,5:21 AM,9:03 PM,5:58 AM,8:27 PM,1:12 pm (56.0°),93.278
4/16/2021,6:26 am ? (75°),7:58 pm ? (286°),13:31:25,+2:53,4:41 AM,9:44 PM,5:20 AM,9:05 PM,5:56 AM,8:28 PM,1:12 pm (56.4°),93.304
4/17/2021,6:25 am ? (74°),7:59 pm ? (286°),13:34:18,+2:52,4:38 AM,9:46 PM,5:18 AM,9:06 PM,5:54 AM,8:29 PM,1:11 pm (56.7°),93.329
4/18/2021,6:23 am ? (74°),8:00 pm ? (287°),13:37:10,+2:52,4:36 AM,9:47 PM,5:16 AM,9:08 PM,5:53 AM,8:31 PM,1:11 pm (57.1°),93.354
4/19/2021,6:21 am ? (73°),8:01 pm ? (287°),13:40:01,+2:51,4:34 AM,9:49 PM,5:14 AM,9:09 PM,5:51 AM,8:32 PM,1:11 pm (57.4°),93.379
4/20/2021,6:20 am ? (73°),8:03 pm ? (288°),13:42:52,+2:50,4:32 AM,9:51 PM,5:12 AM,9:11 PM,5:49 AM,8:33 PM,1:11 pm (57.8°),93.404
4/21/2021,6:18 am ? (72°),8:04 pm ? (288°),13:45:41,+2:49,4:30 AM,9:53 PM,5:10 AM,9:12 PM,5:47 AM,8:35 PM,1:10 pm (58.1°),93.429
4/22/2021,6:16 am ? (72°),8:05 pm ? (288°),13:48:30,+2:48,4:28 AM,9:54 PM,5:08 AM,9:14 PM,5:46 AM,8:36 PM,1:10 pm (58.4°),93.454
4/23/2021,6:15 am ? (71°),8:06 pm ? (289°),13:51:17,+2:47,4:25 AM,9:56 PM,5:06 AM,9:15 PM,5:44 AM,8:37 PM,1:10 pm (58.8°),93.478
4/24/2021,6:13 am ? (71°),8:07 pm ? (289°),13:54:04,+2:46,4:23 AM,9:58 PM,5:04 AM,9:17 PM,5:42 AM,8:38 PM,1:10 pm (59.1°),93.503
4/25/2021,6:12 am ? (70°),8:09 pm ? (290°),13:56:49,+2:45,4:21 AM,10:00 PM,5:03 AM,9:18 PM,5:41 AM,8:40 PM,1:10 pm (59.4°),93.528
4/26/2021,6:10 am ? (70°),8:10 pm ? (290°),13:59:33,+2:44,4:19 AM,10:02 PM,5:01 AM,9:20 PM,5:39 AM,8:41 PM,1:10 pm (59.7°),93.552
4/27/2021,6:09 am ? (69°),8:11 pm ? (291°),14:02:16,+2:42,4:17 AM,10:03 PM,4:59 AM,9:21 PM,5:37 AM,8:42 PM,1:09 pm (60.1°),93.576
4/28/2021,6:07 am ? (69°),8:12 pm ? (291°),14:04:57,+2:41,4:15 AM,10:05 PM,4:57 AM,9:23 PM,5:36 AM,8:44 PM,1:09 pm (60.4°),93.601
4/29/2021,6:06 am ? (69°),8:13 pm ? (292°),14:07:38,+2:40,4:13 AM,10:07 PM,4:55 AM,9:24 PM,5:34 AM,8:45 PM,1:09 pm (60.7°),93.625
4/30/2021,6:04 am ? (68°),8:15 pm ? (292°),14:10:17,+2:38,4:11 AM,10:09 PM,4:54 AM,9:26 PM,5:33 AM,8:46 PM,1:09 pm (61.0°),93.65
5/1/2021,6:03 am ? (68°),8:16 pm ? (293°),14:12:54,+2:37,4:08 AM,10:11 PM,4:52 AM,9:27 PM,5:31 AM,8:48 PM,1:09 pm (61.3°),93.674
5/2/2021,6:01 am ? (67°),8:17 pm ? (293°),14:15:30,+2:36,4:06 AM,10:13 PM,4:50 AM,9:29 PM,5:30 AM,8:49 PM,1:09 pm (61.6°),93.698
5/3/2021,6:00 am ? (67°),8:18 pm ? (293°),14:18:05,+2:34,4:04 AM,10:15 PM,4:48 AM,9:30 PM,5:28 AM,8:50 PM,1:09 pm (61.9°),93.721
5/4/2021,5:59 am ? (66°),8:19 pm ? (294°),14:20:38,+2:33,4:02 AM,10:17 PM,4:47 AM,9:32 PM,5:27 AM,8:52 PM,1:09 pm (62.2°),93.745
5/5/2021,5:57 am ? (66°),8:20 pm ? (294°),14:23:09,+2:31,4:00 AM,10:18 PM,4:45 AM,9:33 PM,5:25 AM,8:53 PM,1:09 pm (62.4°),93.768
5/6/2021,5:56 am ? (66°),8:22 pm ? (295°),14:25:39,+2:29,3:58 AM,10:20 PM,4:43 AM,9:35 PM,5:24 AM,8:54 PM,1:08 pm (62.7°),93.791
5/7/2021,5:55 am ? (65°),8:23 pm ? (295°),14:28:07,+2:27,3:56 AM,10:22 PM,4:42 AM,9:36 PM,5:22 AM,8:55 PM,1:08 pm (63.0°),93.814
5/8/2021,5:53 am ? (65°),8:24 pm ? (295°),14:30:33,+2:26,3:54 AM,10:24 PM,4:40 AM,9:38 PM,5:21 AM,8:57 PM,1:08 pm (63.3°),93.836
5/9/2021,5:52 am ? (64°),8:25 pm ? (296°),14:32:57,+2:24,3:52 AM,10:26 PM,4:39 AM,9:39 PM,5:19 AM,8:58 PM,1:08 pm (63.5°),93.858
5/10/2021,5:51 am ? (64°),8:26 pm ? (296°),14:35:19,+2:22,3:50 AM,10:28 PM,4:37 AM,9:41 PM,5:18 AM,8:59 PM,1:08 pm (63.8°),93.88
5/11/2021,5:50 am ? (64°),8:27 pm ? (297°),14:37:39,+2:20,3:48 AM,10:30 PM,4:35 AM,9:42 PM,5:17 AM,9:01 PM,1:08 pm (64.1°),93.901
5/12/2021,5:49 am ? (63°),8:29 pm ? (297°),14:39:57,+2:17,3:46 AM,10:32 PM,4:34 AM,9:44 PM,5:15 AM,9:02 PM,1:08 pm (64.3°),93.922
5/13/2021,5:47 am ? (63°),8:30 pm ? (297°),14:42:13,+2:15,3:44 AM,10:34 PM,4:32 AM,9:45 PM,5:14 AM,9:03 PM,1:08 pm (64.5°),93.943
5/14/2021,5:46 am ? (63°),8:31 pm ? (298°),14:44:27,+2:13,3:42 AM,10:36 PM,4:31 AM,9:47 PM,5:13 AM,9:04 PM,1:08 pm (64.8°),93.963
5/15/2021,5:45 am ? (62°),8:32 pm ? (298°),14:46:38,+2:11,3:41 AM,10:37 PM,4:30 AM,9:48 PM,5:12 AM,9:06 PM,1:08 pm (65.0°),93.982
5/16/2021,5:44 am ? (62°),8:33 pm ? (298°),14:48:47,+2:08,3:39 AM,10:39 PM,4:28 AM,9:49 PM,5:11 AM,9:07 PM,1:08 pm (65.2°),94.001
5/17/2021,5:43 am ? (61°),8:34 pm ? (299°),14:50:53,+2:06,3:37 AM,10:41 PM,4:27 AM,9:51 PM,5:09 AM,9:08 PM,1:08 pm (65.5°),94.02
5/18/2021,5:42 am ? (61°),8:35 pm ? (299°),14:52:57,+2:03,3:35 AM,10:43 PM,4:25 AM,9:52 PM,5:08 AM,9:09 PM,1:08 pm (65.7°),94.039
5/19/2021,5:41 am ? (61°),8:36 pm ? (299°),14:54:58,+2:01,3:33 AM,10:45 PM,4:24 AM,9:54 PM,5:07 AM,9:10 PM,1:08 pm (65.9°),94.057
